Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.6444207712	1.5894330740	2.8873724937
0.6444323551	1.6104328632	2.8788886070
0.6444439228	1.6466345787	2.8643033504
0.6444555029	1.6967022419	2.8442153931
0.6444670748	1.7382987738	2.8275997639
0.6444786504	1.7506142855	2.8226931095
0.6444902127	1.7642478943	2.8172681332
0.6445017949	1.7562174797	2.8204627037
0.6445133711	1.7414193153	2.8263559341
0.6445249308	1.7508178949	2.8226120472
0.6445365094	1.7275761366	2.8318765163
0.6445480927	1.6795157194	2.8510999680
0.6445596653	1.6338324547	2.8694553375
0.6445712311	1.6077606678	2.8799672127
0.6445828144	1.5865141153	2.8885531425
0.6445944020	1.5642488003	2.8975696564
0.6446059547	1.5251450539	2.9134519100
0.6446175286	1.5252716541	2.9134004116
0.6446291303	1.5141359568	2.9179341793
0.6446406868	1.5057312250	2.9213593006
0.6446522577	1.4923874140	2.9268028736
0.6446638461	1.4736018181	2.9344782829
0.6446754208	1.4622652531	2.9391169548
0.6446869863	1.4415066242	2.9476239681
0.6446985411	1.4232654572	2.9551134109
0.6447101200	1.4056512117	2.9623579979
0.6447217028	1.3955740929	2.9665081501
0.6447332688	1.3909153938	2.9684281349
0.6447448496	1.3825930357	2.9718601704
0.6447564320	1.3788795471	2.9733924866
0.6447680027	1.3558841944	2.9828932285
0.6447795726	1.3489383459	2.9857671261
0.6447911495	1.3311730623	2.9931263924
0.6448027254	1.3190311193	2.9981634617
0.6448142952	1.3288662434	2.9940829277
0.6448258568	1.3226594925	2.9966576099
0.6448374387	1.3040506840	3.0043861866
0.6448490058	1.3278768063	2.9944932461
0.6448605913	1.3319402933	2.9928083420
0.6448721695	1.3301610947	2.9935460091
0.6448837275	1.3283591270	2.9942932129
0.6448953137	1.3329892159	2.9923734665
0.6449068950	1.3269398212	2.9948818684
0.6449184611	1.3177262545	2.9987051487
0.6449300304	1.2928307056	3.0090527534
0.6449415998	1.3011822701	3.0055787563
0.6449531838	1.2969079018	3.0073564053
0.6449647605	1.2601354122	3.0226800442
0.6449763193	1.2414964437	3.0304679871
0.6449879189	1.2725397348	3.0175049305
0.6449994963	1.2876933813	3.0111911297
0.6450110390	1.2713938951	3.0179827213
0.6450226180	1.2373406887	3.0322062969
0.6450341918	1.2145901918	3.0417349339
0.6450457734	1.2105866671	3.0434138775
0.6450573691	1.2025281191	3.0467953682
0.6450689192	1.2119179964	3.0428555012
0.6450804859	1.2204537392	3.0392770767
0.6450920783	1.2144935131	3.0417754650
0.6451036430	1.2225977182	3.0383787155
0.6451152214	1.2395656109	3.0312755108
0.6451267970	1.2810322046	3.0139653683
0.6451383674	1.2806047201	3.0141434669
0.6451499468	1.2371599674	3.0322818756
0.6451615048	1.1898810863	3.0521075726
0.6451730921	1.1592280865	3.0650098324
0.6451846680	1.0615797043	3.1063663960
0.6451962520	1.0345761776	3.1178719997
0.6452078279	1.1066520214	3.0872287750
0.6452193863	1.1734834909	3.0590047836
0.6452309600	1.1414513588	3.0725097656
0.6452425398	1.2034181356	3.0464217663
0.6452541251	1.2570980787	3.0239481926
0.6452656729	1.2676124573	3.0195598602
0.6452772468	1.2957915068	3.0078208447
0.6452888288	1.2703385353	3.0184228420
0.6453004103	1.2635147572	3.0212695599
0.6453119782	1.3160729408	2.9993915558
0.6453235511	1.3492287397	2.9856469631
0.6453351136	1.3016679287	3.0053768158
0.6453467205	1.3260213137	2.9952628613
0.6453582729	1.3185790777	2.9983510971
0.6453698524	1.2891560793	3.0105822086
0.6453814383	1.2042474747	3.0460736752
0.6453929857	1.1828759909	3.0550527573
0.6454045713	1.1745811701	3.0585427284
0.6454161440	1.1642330885	3.0629005432
0.6454277059	1.1416038275	3.0724453926
0.6454392921	1.0837075710	3.0969605446
0.6454508695	1.0863851309	3.0958237648
0.6454624698	1.0164872408	3.1255960464
0.6454740107	0.9419564605	3.1575634480
0.6454855850	0.9367956519	3.1597855091
0.6454971591	0.8716976047	3.1879096031
0.6455087329	0.8649919629	3.1908166409
0.6455203079	0.8362071514	3.2033169270
0.6455318754	0.7902557850	3.2233440876
0.6455434480	0.7809775472	3.2273986340
0.6455550362	0.7376034856	3.2464010715
0.6455666196	0.7118555903	3.2577190399
0.6455781679	0.7201163173	3.2540848255
0.6455897589	0.6727430224	3.2749655247
0.6456013467	0.6487269998	3.2855875492
0.6456129127	0.6476916075	3.2860460281
0.6456244663	0.6175415516	3.2994172573
0.6456360588	0.6196503639	3.2984807491
0.6456476400	0.6057731509	3.3046469688
0.6456591877	0.5963139534	3.3088548183
0.6456707775	0.5989484191	3.3076825142
0.6456823447	0.5907642841	3.3113253117
0.6456939207	0.5465318561	3.3310632706
0.6457055007	0.5145004392	3.3454093933
0.6457170602	0.4902181327	3.3563144207
0.6457286300	0.4607088566	3.3696012497
0.6457402251	0.4375976324	3.3800337315
0.6457517889	0.4227625430	3.3867425919
0.6457633535	0.4580405653	3.3708045483
0.6457749329	0.4450614154	3.3766620159
0.6457865133	0.4440551698	3.3771164417
0.6457980924	0.4351599514	3.3811354637
0.6458096810	0.4320552647	3.3825390339
0.6458212389	0.4191901982	3.3883595467
0.6458328053	0.3948954046	3.3993709087
0.6458444022	0.3709582686	3.4102454185
0.6458559448	0.3642977476	3.4132757187
0.6458675344	0.3496905267	3.4199283123
0.6458791013	0.3457771838	3.4217121601
0.6458906856	0.3320639431	3.4279685020
0.6459022475	0.3233430088	3.4319515228
0.6459138275	0.3160043359	3.4353058338
0.6459254008	0.3077735901	3.4390707016
0.6459369743	0.2969180644	3.4440407753
0.6459485500	0.2845552564	3.4497072697
0.6459601240	0.2739088535	3.4545924664
0.6459716849	0.2648495436	3.4587533474
0.6459832732	0.2596797943	3.4611294270
