Day fraction since midnight on 	photometer (mg/L)	photometer (volts)
0.5963306887	0.8261356950	3.2076988220
0.5963422986	0.8104624152	3.2145264149
0.5963538380	0.8182717562	3.2111232281
0.5963654055	0.8097837567	3.2148222923
0.5963770111	0.7849369645	3.2256679535
0.5963885521	0.7872705460	3.2246482372
0.5964001380	0.7857389450	3.2253174782
0.5964117053	0.7740316987	3.2304363251
0.5964232842	0.7715070844	3.2315409184
0.5964348713	0.7622603178	3.2355890274
0.5964464522	0.7624263167	3.2355163097
0.5964580257	0.7442767024	3.2434723377
0.5964695788	0.7397662401	3.2454516888
0.5964811580	0.7486259937	3.2415645123
0.5964927276	0.7399639487	3.2453649044
0.5965043245	0.7338287830	3.2480585575
0.5965158900	0.7329662442	3.2484374046
0.5965274736	0.7361927032	3.2470204830
0.5965390198	0.7216436863	3.2534132004
0.5965505998	0.7216284871	3.2534198761
0.5965621944	0.6993645430	3.2632198334
0.5965737693	0.6849496961	3.2695760727
0.5965853207	0.6659350395	3.2779741287
0.5965968986	0.6671054363	3.2774567604
0.5966084899	0.6765792370	3.2732710838
0.5966200517	0.6703346968	3.2760295868
0.5966316282	0.6695642471	3.2763700485
0.5966431935	0.6628801823	3.2793247700
0.5966547584	0.6476178765	3.2860786915
0.5966663303	0.6463220716	3.2866525650
0.5966779147	0.6405938864	3.2891902924
0.5966894958	0.6440210342	3.2876718044
0.5967010715	0.6392306685	3.2897944450
0.5967126451	0.6433752775	3.2879579067
0.5967242094	0.6419266462	3.2885997295
0.5967357811	0.6318667531	3.2930593491
0.5967473790	0.6332805753	3.2924323082
0.5967589223	0.6190109253	3.2987647057
0.5967705121	0.6228337884	3.2970674038
0.5967820894	0.6042987108	3.3053026199
0.5967936545	0.6035845876	3.3056201935
0.5968052297	0.6033776402	3.3057122231
0.5968167959	0.5949832797	3.3094470501
0.5968283693	0.5889016986	3.3121547699
0.5968399612	0.5855520964	3.3136467934
0.5968515241	0.5837723017	3.3144397736
0.5968631039	0.5747570395	3.3184585571
0.5968746943	0.5733682513	3.3190779686
0.5968862414	0.5706916451	3.3202719688
0.5968978168	0.5544447899	3.3275260925
0.5969093948	0.5566294193	3.3265500069
0.5969209685	0.5473951101	3.3306772709
0.5969325669	0.5421007276	3.3330452442
0.5969441334	0.5319513083	3.3375880718
0.5969556807	0.5271745920	3.3397276402
0.5969672651	0.5253813863	3.3405311108
0.5969788454	0.5249956250	3.3407039642
0.5969904120	0.5318427086	3.3376367092
0.5970019773	0.5280665159	3.3393280506
0.5970135676	0.5057453513	3.3493382931
0.5970251261	0.5014218092	3.3512797356
0.5970367034	0.5039165616	3.3501594067
0.5970482723	0.4898130000	3.3564965725
0.5970598556	0.4938569367	3.3546786308
0.5970714459	0.4919824898	3.3555212021
0.5970829956	0.4829512239	3.3595829010
0.5970945898	0.4841117859	3.3590607643
0.5971061614	0.4856328666	3.3583765030
