Day fraction since midnight on 	pH probe (pH)	pH probe (pH)
0.6169844621	8.1045732498	7.9463601112
0.6169960521	8.1038503647	7.9456210136
0.6170076191	8.1030397415	7.9447927475
0.6170191861	8.1012439728	7.9429569244
0.6170307783	8.0871353149	7.9285326004
0.6170423468	8.0890550613	7.9304947853
0.6170539165	8.0849876404	7.9263367653
0.6170654834	8.0816316605	7.9229054451
0.6170770736	8.0828113556	7.9241118431
0.6170886424	8.0723342896	7.9134001732
0.6171002115	8.0740528107	7.9151573181
0.6171117784	8.0664758682	7.9074106216
0.6171233706	8.0614242554	7.9022455215
0.6171349376	8.0582628250	7.8990139961
0.6171465045	8.0469999313	7.8874983788
0.6171580946	8.0356674194	7.8759126663
0.6171696616	8.0302762985	7.8704013824
0.6171812286	8.0195684433	7.8594536781
0.6171928001	8.0159091949	7.8557128906
0.6172043902	8.0119991302	7.8517150879
0.6172159627	8.0045852661	7.8441352844
0.6172275344	7.9966197014	7.8359913826
0.6172391070	7.9804115295	7.8194203377
0.6172506761	7.9697265625	7.8084964752
0.6172622454	7.9585809708	7.7971014977
0.6172738149	7.9466934204	7.7849478722
0.6172854074	7.9320583344	7.7699856758
0.6172969793	7.9284973145	7.7663450241
0.6173085484	7.9262428284	7.7640399933
0.6173201154	7.9213476181	7.7590351105
0.6173317054	7.9082598686	7.7456545830
0.6173432740	7.8933677673	7.7304291725
0.6173548438	7.8872013092	7.7241249084
0.6173664134	7.8855814934	7.7224688530
0.6173779825	7.8835711479	7.7204132080
0.6173895726	7.8808312416	7.7176122665
0.6174011396	7.8750553131	7.7117071152
0.6174127066	7.8635845184	7.6999793053
0.6174242986	7.8520431519	7.6881799698
0.6174358656	7.8417978287	7.6777052879
0.6174474325	7.8331370354	7.6688504219
0.6174590060	7.8187427521	7.6541342735
0.6174705783	7.8181357384	7.6535134315
0.6174821509	7.8092904091	7.6444706917
0.6174937212	7.8003196716	7.6352992058
0.6175052951	7.7961821556	7.6310691833
0.6175168904	7.7877588272	7.6224570274
0.6175284621	7.7831239700	7.6177186966
0.6175400318	7.7685246468	7.6027927399
0.6175516008	7.7634234428	7.5975770950
0.6175631677	7.7604103088	7.5944967270
0.6175747598	7.7542729378	7.5882220268
